ten_tau,km_min,km_max,k_ko_hang,k_co_hang
HTV-1410,61,100,2.256,0.00062
HTV-1410,101,300,2.095,0.00058
HTV-1410,301,999999,2.18,0.0005253
HTV-1411,0,16,3.82,0.00105
HTV-1411,16,30,3.14,0.00089
HTV-1411,31,60,2.59,0.00072
HTV-1411,61,100,2.256,0.00062
HTV-1411,101,300,2.095,0.00058
HTV-1411,301,999999,2.18,0.0005253
HTV-1412,0,16,3.82,0.00105
HTV-1412,16,30,3.14,0.00089
HTV-1412,31,60,2.59,0.00072
HTV-1412,61,100,2.256,0.00062
HTV-1412,101,300,2.095,0.00058
HTV-1412,301,999999,2.18,0.0005253
AG-21190,0,16,3.82,0.00105
AG-21190,16,30,3.14,0.00089
AG-21190,31,60,2.59,0.00072
AG-21190,61,100,2.256,0.00062
AG-21190,101,300,2.095,0.00058
AG-21190,301,999999,2.18,0.0005253
AG-21519,0,16,3.82,0.00105
AG-21519,16,30,3.14,0.00089
AG-21519,31,60,2.59,0.00072
AG-21519,61,100,2.256,0.00062
AG-21519,101,300,2.095,0.00058
AG-21519,301,999999,2.18,0.0005253
AG-26579,0,16,3.95,0.00096
AG-26579,16,30,3.26,0.00078
AG-26579,31,60,2.61,0.00064
AG-26579,61,100,2.514,0.00061
AG-26579,101,300,2.508,0.00062
AG-26579,301,999999,2.42,0.000475
AG-26237,0,16,4.26,0.00083
AG-26237,16,30,3.601,0.00069
AG-26237,31,60,2.66,0.00052
AG-26237,61,100,2.71,0.00054
AG-26237,101,300,2.69,0.00053
AG-26237,301,999999,3.084,0.000485
AG-26243,0,16,4.26,0.00083
AG-26243,16,30,3.601,0.00069
AG-26243,31,60,2.66,0.00052
AG-26243,61,100,2.71,0.00054
AG-26243,101,300,2.69,0.00053
AG-26243,301,999999,3.084,0.000485
HTV-152,0,16,3.95,0.00096
HTV-152,16,30,3.26,0.00078
HTV-152,31,60,2.61,0.00064
HTV-152,61,100,2.514,0.00061
HTV-152,101,300,2.508,0.00062
HTV-152,301,999999,2.42,0.000475
HTV-08,0,16,3.52,0.00135
HTV-08,16,30,2.983,0.000846
HTV-08,31,60,2.461,0.000684
HTV-08,61,100,2.143,0.000589
HTV-08,101,300,1.99,0.000551
HTV-08,301,999999,2.071,0.000499
Test Sao Chép 1,0,16,3.82,0.00105
Test Sao Chép 1,16,30,3.14,0.00089
Test Sao Chép 1,31,60,2.59,0.00072
Test Sao Chép 1,61,100,2.256,0.00062
Test Sao Chép 1,101,300,2.095,0.00058
Test Sao Chép 1,301,999999,2.18,0.0005253
