2026-01-14 21:59:44|SỬA|TN Phú Hữu → Cảng Tổng Hợp (Thị Vải)|60 km|Chỉnh lại|Cũ: 45,TN Phú Hữu,Cảng Tổng Hợp Thị Vải,60
2026-01-14 22:00:25|SỬA|TN Long An → Cảng Tổng Hợp (Thị Vải)|127 km|Chỉnh lại|Cũ: 58,TN Long An,Cảng Tổng Hợp Thị Vải,127
2026-01-14 22:01:31|SỬA|Cảng Bến Lức (Long An) → Cảng Tổng Hợp (Thị Vải)|127 km|Chỉnh lại|Cũ: 72,Cảng Bến Lức (Long An),Cảng Tổng Hợp Thị Vải,127
2026-01-14 22:02:11|SỬA|Phao ĐT1 (Cát Lái) → Cảng Hoàng Tuấn (LA)|89 km|Chỉnh lại|Cũ: 50,Phao ĐT1 (Cát Lái),Cảng Hoàng Tuấn (Long An),89
2026-01-14 22:03:06|SỬA|Cảng Hoàng Tuấn (LA) → Phao ĐT1 (Cát Lái)|89 km|Chỉnh lại|Cũ: 65,Cảng Hoàng Tuấn (Long An),Phao ĐT1 (Cát Lái),89
2026-01-14 22:03:35|SỬA|Cảng Hoàng Tuấn (LA) → Fico Tây Ninh|109 km|Chỉnh lại|Cũ: 66,Cảng Hoàng Tuấn (Long An),Fico Tây Ninh,109
2026-01-14 22:05:21|SỬA|Insee Thị Vải → Cảng Tổng Hợp (Thị Vải)|4 km|Chỉnh lại|Cũ: 127,Insee Thị Vải,Cảng Tổng Hợp Thị Vải,4
2026-01-14 22:06:15|SỬA|Cảng AHT (Bình Dương) → Cảng Tổng Hợp (Thị Vải)|120 km|Chỉnh lại|Cũ: 85,Cảng AHT (Bình Dương),Cảng Tổng Hợp Thị Vải,120
2026-01-14 22:07:03|SỬA|Cảng Thường Tân (BD) → Cảng Tổng Hợp (Thị Vải)|126 km|Chỉnh lại|Cũ: 98,Cảng Thường Tân (BD),Cảng Tổng Hợp Thị Vải,126
2026-01-14 22:08:05|SỬA|Cảng An Ngãi (BRVT) → Cảng Sotrans (Thủ Đức)|105 km|Chỉnh lại|Cũ: 101,Cảng An Ngãi (BRVT),Cảng Sotrans Thủ Đức,105
